Fact_ID,Date,Security_ID,Measure,Value
844,2018-05-09,20,Low,201.37
844,2018-05-09,20,Close,203.42
844,2018-05-09,20,AdjClose,183.04543
844,2018-05-09,20,Volume,3361300
845,2018-05-10,20,Open,202.61
845,2018-05-10,20,High,205.67999
845,2018-05-10,20,Low,202.39
845,2018-05-10,20,Close,205.03
845,2018-05-10,20,AdjClose,184.49417
845,2018-05-10,20,Volume,2700800
846,2018-05-11,20,Open,204.74001
846,2018-05-11,20,High,205.37
846,2018-05-11,20,Low,203.66
846,2018-05-11,20,Close,205.16
846,2018-05-11,20,AdjClose,184.61115
846,2018-05-11,20,Volume,3155700
847,2018-05-14,20,Open,205.67
847,2018-05-14,20,High,206.03999
847,2018-05-14,20,Low,204.67
847,2018-05-14,20,Close,205.76
847,2018-05-14,20,AdjClose,185.15105
847,2018-05-14,20,Volume,3385900
848,2018-05-15,20,Open,204.96001
848,2018-05-15,20,High,205.57001
848,2018-05-15,20,Low,201.64
848,2018-05-15,20,Close,202.41
848,2018-05-15,20,AdjClose,182.13658
848,2018-05-15,20,Volume,2259200
849,2018-05-16,20,Open,200.52
849,2018-05-16,20,High,201.03999
849,2018-05-16,20,Low,199.05
849,2018-05-16,20,Close,200.21001
849,2018-05-16,20,AdjClose,180.15697
849,2018-05-16,20,Volume,2913500
850,2018-05-17,20,Open,199.27
850,2018-05-17,20,High,201.39999
850,2018-05-17,20,Low,198.69
850,2018-05-17,20,Close,200.36
850,2018-05-17,20,AdjClose,181.52501
850,2018-05-17,20,Volume,2265800
851,2018-05-18,20,Open,200.28
851,2018-05-18,20,High,200.76
851,2018-05-18,20,Low,198.45
851,2018-05-18,20,Close,198.96001
851,2018-05-18,20,AdjClose,180.25658
851,2018-05-18,20,Volume,2925700
852,2018-05-21,20,Open,200.5
852,2018-05-21,20,High,202.92999
852,2018-05-21,20,Low,200
852,2018-05-21,20,Close,201.76
852,2018-05-21,20,AdjClose,182.79338
852,2018-05-21,20,Volume,2126500
853,2018-05-22,20,Open,201.96001
853,2018-05-22,20,High,202.11
853,2018-05-22,20,Low,198.73
853,2018-05-22,20,Close,198.97
853,2018-05-22,20,AdjClose,180.26563
853,2018-05-22,20,Volume,2313900
854,2018-05-23,20,Open,197.74001
854,2018-05-23,20,High,198.8
854,2018-05-23,20,Low,196.56
854,2018-05-23,20,Close,198.67
854,2018-05-23,20,AdjClose,179.99385
854,2018-05-23,20,Volume,2737700
855,2018-05-24,20,Open,198.83
855,2018-05-24,20,High,200.17999
855,2018-05-24,20,Low,196.92999
855,2018-05-24,20,Close,199.41
855,2018-05-24,20,AdjClose,180.66429
855,2018-05-24,20,Volume,2055000
856,2018-05-25,20,Open,198.33
856,2018-05-25,20,High,199.41
856,2018-05-25,20,Low,197.92999
856,2018-05-25,20,Close,199.03
856,2018-05-25,20,AdjClose,180.32002
856,2018-05-25,20,Volume,1686500
857,2018-05-29,20,Open,198
857,2018-05-29,20,High,198.51
857,2018-05-29,20,Low,195.10001
857,2018-05-29,20,Close,195.74001
857,2018-05-29,20,AdjClose,177.33929
857,2018-05-29,20,Volume,2346800
858,2018-05-30,20,Open,197.09
858,2018-05-30,20,High,199.38001
858,2018-05-30,20,Low,196.7
858,2018-05-30,20,Close,198.67999
858,2018-05-30,20,AdjClose,180.0029
858,2018-05-30,20,Volume,2143100
859,2018-05-31,20,Open,198.11
859,2018-05-31,20,High,198.45
859,2018-05-31,20,Low,196.26
859,2018-05-31,20,Close,197.23
859,2018-05-31,20,AdjClose,178.68924
859,2018-05-31,20,Volume,5253100
860,2018-06-01,20,Open,198.75
860,2018-06-01,20,High,200.42
860,2018-06-01,20,Low,198.28
860,2018-06-01,20,Close,199.59
860,2018-06-01,20,AdjClose,180.82738
860,2018-06-01,20,Volume,1827000
861,2018-06-04,20,Open,200.73
861,2018-06-04,20,High,201.69
861,2018-06-04,20,Low,200.07001
861,2018-06-04,20,Close,201.06
861,2018-06-04,20,AdjClose,182.15918
861,2018-06-04,20,Volume,2408400
862,2018-06-05,20,Open,201.08
862,2018-06-05,20,High,202.10001
862,2018-06-05,20,Low,200.89
862,2018-06-05,20,Close,201.2
862,2018-06-05,20,AdjClose,182.28601
862,2018-06-05,20,Volume,2246100
863,2018-06-06,20,Open,201.84
863,2018-06-06,20,High,204.05
863,2018-06-06,20,Low,201.55
863,2018-06-06,20,Close,203.86
863,2018-06-06,20,AdjClose,184.69594
863,2018-06-06,20,Volume,2297300
864,2018-06-07,20,Open,204.17999
864,2018-06-07,20,High,205.89
864,2018-06-07,20,Low,203.76
864,2018-06-07,20,Close,205.07001
864,2018-06-07,20,AdjClose,185.79222
864,2018-06-07,20,Volume,2279200
865,2018-06-08,20,Open,204.98
865,2018-06-08,20,High,206.75
865,2018-06-08,20,Low,204.41
865,2018-06-08,20,Close,206.59
865,2018-06-08,20,AdjClose,187.16933
865,2018-06-08,20,Volume,2170200
866,2018-06-11,20,Open,206.59
866,2018-06-11,20,High,206.78999
866,2018-06-11,20,Low,205
866,2018-06-11,20,Close,205.12
866,2018-06-11,20,AdjClose,185.83751
866,2018-06-11,20,Volume,2302900
867,2018-06-12,20,Open,205.67
867,2018-06-12,20,High,205.95
867,2018-06-12,20,Low,203.95
867,2018-06-12,20,Close,204.92
867,2018-06-12,20,AdjClose,185.65631
867,2018-06-12,20,Volume,1806100
868,2018-06-13,20,Open,205.14
868,2018-06-13,20,High,205.66
868,2018-06-13,20,Low,203.73
868,2018-06-13,20,Close,204.89
868,2018-06-13,20,AdjClose,185.62914
868,2018-06-13,20,Volume,2097900
869,2018-06-14,20,Open,205.76
869,2018-06-14,20,High,206.27
869,2018-06-14,20,Low,203.5
869,2018-06-14,20,Close,203.63001
869,2018-06-14,20,AdjClose,184.48758
869,2018-06-14,20,Volume,2221500
870,2018-06-15,20,Open,202.55
870,2018-06-15,20,High,205.06
870,2018-06-15,20,Low,200.11
870,2018-06-15,20,Close,204.97
870,2018-06-15,20,AdjClose,185.70163
870,2018-06-15,20,Volume,5449500
871,2018-06-18,20,Open,202.53
871,2018-06-18,20,High,204.57001
871,2018-06-18,20,Low,200.25
871,2018-06-18,20,Close,204.17
871,2018-06-18,20,AdjClose,184.97684
871,2018-06-18,20,Volume,2842800
872,2018-06-19,20,Open,201.26
872,2018-06-19,20,High,201.83
872,2018-06-19,20,Low,198.33
872,2018-06-19,20,Close,199.39
872,2018-06-19,20,AdjClose,180.64616
872,2018-06-19,20,Volume,3206800
873,2018-06-20,20,Open,199.34
873,2018-06-20,20,High,200
873,2018-06-20,20,Low,197.26
873,2018-06-20,20,Close,198.08
873,2018-06-20,20,AdjClose,179.45929
873,2018-06-20,20,Volume,2348300
874,2018-06-21,20,Open,197.84
874,2018-06-21,20,High,197.84
874,2018-06-21,20,Low,194.59
874,2018-06-21,20,Close,195.52
874,2018-06-21,20,AdjClose,177.13998
874,2018-06-21,20,Volume,2420400
875,2018-06-22,20,Open,197.39
875,2018-06-22,20,High,197.44
875,2018-06-22,20,Low,195.17999
875,2018-06-22,20,Close,196.5
875,2018-06-22,20,AdjClose,178.02786
875,2018-06-22,20,Volume,2290100
